Percentual,Filename
1.0,PetImages\Cat\11565.jpg
1.0,PetImages\Cat\835.jpg
1.0,PetImages\Cat\2663.jpg
1.0,PetImages\Cat\666.jpg
1.0,PetImages\Dog\11702.jpg
1.0,PetImages\Cat\2939.jpg
1.0,PetImages\Cat\4833.jpg
1.0,PetImages\Dog\10797.jpg
1.0,PetImages\Dog\1773.jpg
1.0,PetImages\Dog\10401.jpg
1.0,PetImages\Dog\2877.jpg
0.8995699481865285,PetImages\Cat\10029.jpg
0.8824387538580247,PetImages\Cat\8456.jpg
0.8824387538580247,PetImages\Dog\8736.jpg
0.8020662847790507,PetImages\Cat\7564.jpg
0.797875,PetImages\Cat\8470.jpg
0.7333333333333333,PetImages\Dog\1308.jpg
0.7126315789473684,PetImages\Cat\4522.jpg
0.6749287356321839,PetImages\Dog\10190.jpg
0.6289189189189189,PetImages\Cat\11184.jpg
0.5492376512096774,PetImages\Dog\10161.jpg
0.5320987654320988,PetImages\Dog\1259.jpg
0.4241411192214112,PetImages\Cat\7377.jpg
0.4240851063829787,PetImages\Dog\11191.jpg
0.4142624113475177,PetImages\Cat\10712.jpg
0.4021845611285266,PetImages\Dog\11186.jpg
0.3964266666666666,PetImages\Cat\6215.jpg
0.3663138518177634,PetImages\Dog\9517.jpg
0.3572222222222222,PetImages\Dog\1895.jpg
0.3426348426348426,PetImages\Cat\3216.jpg
0.3323390557939914,PetImages\Cat\4688.jpg
0.2850040584415584,PetImages\Dog\8898.jpg
0.2287878787878788,PetImages\Dog\9188.jpg
0.1993274582560296,PetImages\Dog\4367.jpg
0.1712802197802198,PetImages\Cat\12272.jpg
0.1711769722814499,PetImages\Cat\11259.jpg
0.1710666666666666,PetImages\Cat\2015.jpg
0.1707783251231527,PetImages\Dog\5196.jpg
0.1707421875,PetImages\Cat\780.jpg
0.1703039832285115,PetImages\Cat\8917.jpg
0.1702241429185038,PetImages\Dog\3755.jpg
0.1697813333333333,PetImages\Dog\10538.jpg
0.169674204874019,PetImages\Dog\1144.jpg
0.1693807428330305,PetImages\Dog\5428.jpg
0.1688085106382978,PetImages\Cat\5379.jpg
0.1685929648241206,PetImages\Cat\12306.jpg
0.1681186813186813,PetImages\Dog\2211.jpg
0.1680190930787589,PetImages\Dog\2899.jpg
0.168016,PetImages\Cat\7956.jpg
0.1679946666666666,PetImages\Cat\3586.jpg
0.1675694444444444,PetImages\Dog\8126.jpg
0.1674650619581139,PetImages\Cat\5183.jpg
0.1672453703703703,PetImages\Cat\7032.jpg
0.1671618852459016,PetImages\Dog\6847.jpg
0.166579185520362,PetImages\Dog\4398.jpg
0.166005,PetImages\Cat\2126.jpg
0.1659090909090909,PetImages\Dog\9914.jpg
0.1654239130434782,PetImages\Dog\180.jpg
0.1654239130434782,PetImages\Dog\74.jpg
0.1654026666666666,PetImages\Cat\8196.jpg
0.1649644670050761,PetImages\Cat\12116.jpg
0.1643956043956043,PetImages\Cat\6886.jpg
0.1636731707317073,PetImages\Dog\1489.jpg
0.1636074270557029,PetImages\Cat\5425.jpg
0.1631574894108586,PetImages\Cat\1296.jpg
0.162725,PetImages\Dog\312.jpg
0.1625072886297376,PetImages\Cat\6531.jpg
0.162464,PetImages\Cat\8188.jpg
0.1619508368200836,PetImages\Cat\2904.jpg
0.1617496665184526,PetImages\Dog\10687.jpg
0.1617066666666666,PetImages\Cat\8548.jpg
0.1615354938271604,PetImages\Dog\309.jpg
0.1610666666666666,PetImages\Cat\1804.jpg
0.1608403361344537,PetImages\Cat\9765.jpg
0.1608373333333333,PetImages\Cat\7948.jpg
0.1605653333333333,PetImages\Cat\3854.jpg
0.160307704999175,PetImages\Dog\3271.jpg
0.1603067292644757,PetImages\Cat\1391.jpg
0.1590613333333333,PetImages\Cat\3031.jpg
0.1587428571428571,PetImages\Dog\806.jpg
0.1578986666666666,PetImages\Dog\2873.jpg
0.1578761061946902,PetImages\Cat\10188.jpg
0.1578734342602323,PetImages\Dog\4593.jpg
0.1577777777777777,PetImages\Cat\2632.jpg
0.1573606138107416,PetImages\Cat\10866.jpg
0.1571453287197231,PetImages\Cat\6315.jpg
0.1569851632047477,PetImages\Cat\8581.jpg
0.1568943820224719,PetImages\Dog\3654.jpg
0.1566672277394378,PetImages\Dog\12446.jpg
0.1557942708333333,PetImages\Dog\5629.jpg
0.1555617021276595,PetImages\Cat\149.jpg
0.1553546666666666,PetImages\Cat\10231.jpg
0.1550939663699307,PetImages\Cat\5782.jpg
0.1542493638676844,PetImages\Cat\2228.jpg
0.1541621621621621,PetImages\Cat\7765.jpg
0.1540586666666666,PetImages\Cat\4962.jpg
0.1535482046932428,PetImages\Dog\7616.jpg
